"id","male","hispanic","riskgrp","atrisk","behsymp1","lrnprob1","read1","read2","read3","read9","readgrp9","stanread7","math1","math2","math3","math9","mathgrp9","stanmath7"
1,0,1,2,1,44,57,105,131,123,123,1,376,105,113,116,91,1,313
2,0,0,2,1,48,59,153,150,138,123,1,345,149,138,120,127,1,381
3,0,0,1,0,41,49,123,136,126,119,1,399,125,114,115,111,1,421
4,0,1,1,0,43,50,107,124,109,115,1,331,95,105,90,90,1,263
5,0,1,1,0,47,56,119,131,118,NA,NA,351,129,126,109,NA,NA,301
6,0,0,1,0,39,56,114,127,121,112,1,364,108,103,116,97,1,350
7,0,1,NA,NA,61,40,115,141,135,108,1,364,98,104,123,99,1,364
8,0,0,1,0,57,54,129,126,NA,106,1,319,126,114,NA,115,1,384
9,0,1,2,1,62,61,99,117,NA,104,1,NA,106,113,NA,86,0,NA
10,0,0,2,1,51,53,118,124,110,NA,NA,264,114,115,86,NA,NA,247
11,0,1,2,1,37,38,124,125,126,104,1,350,114,127,143,109,1,380
12,0,0,1,0,50,56,103,113,117,104,1,332,109,116,121,95,1,331
13,0,1,2,1,49,57,105,109,109,102,1,317,117,124,130,104,1,356
14,0,1,2,1,46,39,95,109,98,102,1,100,98,114,89,91,1,264
15,0,NA,2,1,62,61,120,120,118,100,1,289,111,104,98,85,0,253
16,0,0,1,0,60,51,112,122,115,100,1,259,104,105,88,95,1,224
17,0,0,1,0,45,51,111,115,105,99,1,318,132,118,108,108,1,377
18,0,0,1,0,23,39,90,83,86,98,1,297,122,108,105,103,1,338
19,0,1,1,0,NA,58,101,107,110,NA,NA,310,88,102,115,NA,NA,306
20,0,0,1,0,45,68,NA,106,102,97,1,335,NA,101,112,94,1,342
21,0,0,1,0,53,60,112,107,105,94,1,305,116,104,100,91,1,274
22,0,NA,1,0,33,46,70,88,82,94,1,266,89,97,91,78,0,283
23,0,1,3,1,40,NA,71,96,90,93,1,245,81,96,97,90,1,265
24,0,1,1,0,56,54,99,119,109,93,1,NA,99,106,105,91,1,NA
25,0,NA,1,0,42,46,91,109,100,93,1,325,84,100,104,81,0,272
26,0,NA,1,0,54,69,NA,100,NA,93,1,300,NA,104,NA,86,0,278
27,0,1,1,0,45,65,82,83,79,92,1,238,106,111,98,88,0,269
28,NA,0,1,0,37,39,88,101,101,92,1,326,94,90,104,84,0,293
29,0,0,1,0,76,55,NA,113,121,92,1,284,NA,93,100,93,1,202
30,0,1,1,0,63,64,86,110,106,NA,NA,338,107,110,111,NA,NA,334
31,0,0,1,0,50,51,97,107,97,92,1,254,112,90,94,87,0,359
32,0,0,2,1,42,51,87,101,NA,90,1,306,109,103,NA,90,1,289
33,0,1,2,1,37,40,99,102,102,89,0,NA,121,113,121,106,1,NA
34,0,1,2,1,25,32,67,82,76,89,0,260,99,90,89,71,0,261
35,0,0,2,1,39,45,90,94,96,88,0,258,89,92,98,79,0,266
36,0,1,1,0,53,46,103,121,111,88,0,304,97,105,103,83,0,265
37,0,0,2,1,49,55,NA,95,89,87,0,215,NA,85,83,75,0,232
38,0,0,2,1,40,38,91,93,96,87,0,335,109,100,109,92,1,330
39,0,0,1,0,71,61,77,84,97,87,0,207,86,92,100,68,0,248
40,0,0,1,0,56,53,97,108,105,86,0,251,90,93,96,76,0,261
41,0,1,2,1,44,47,83,90,85,85,0,NA,100,89,96,86,0,NA
42,0,0,2,1,70,76,102,95,NA,NA,NA,188,117,106,NA,NA,NA,253
43,0,1,2,1,39,45,74,77,78,84,0,269,87,88,89,71,0,213
44,0,0,1,0,58,73,85,87,87,84,0,260,94,95,96,79,0,250
45,0,1,2,1,31,45,83,85,85,84,0,213,86,109,100,81,0,209
46,0,1,3,1,73,63,65,80,83,NA,NA,NA,91,99,84,NA,NA,NA
47,0,0,1,0,63,59,89,NA,NA,83,0,205,112,NA,NA,86,0,249
48,0,1,3,1,45,45,69,81,85,82,0,250,94,92,107,89,0,286
49,0,1,3,1,39,48,68,70,68,82,0,NA,93,95,85,86,0,NA
50,0,1,3,1,50,49,67,88,81,81,0,242,86,95,91,81,0,236
51,0,1,3,1,37,47,74,90,81,81,0,258,92,101,93,74,0,242
52,0,0,1,0,67,66,88,NA,90,81,0,283,97,NA,82,72,0,237
53,0,1,2,1,42,55,80,86,82,79,0,230,99,106,101,93,1,254
54,0,0,3,1,60,57,84,85,95,78,0,NA,97,107,95,82,0,NA
55,0,1,2,1,58,58,100,NA,97,76,0,259,102,NA,90,78,0,162
56,0,0,2,1,66,55,78,NA,92,75,0,NA,92,NA,99,83,0,NA
57,NA,1,3,1,48,57,79,80,NA,NA,NA,262,96,89,NA,NA,NA,251
58,0,0,1,0,17,38,73,59,64,NA,NA,196,97,110,83,NA,NA,100
59,0,1,1,0,65,65,71,NA,68,74,0,100,91,NA,71,80,0,263
